Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
131	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_150.fits	1	1.47	4	1	0	0	0.5919543287342373	-2.5234556636985768	4.807168568317946	0.11288423343084347	0.0037033091787007787	17.46	0.30217933094653004
132	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	4	2	3.333767170767769	3.643510286670969	0.5748284561687467	-2.2443926864911967	5.067064522118738	0.1266611847775258	-0.05810145433149458	7.0904	0.5593045561516096
133	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	4	1	0	0	0.5704772707134168	-2.4444353121290225	4.380092012085975	0.08779515381003383	0.004598917213973323	8.1385	0.2211647357906249
134	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	4	1	0	0	0.621223493607378	-2.1928584112039764	4.606873110650955	0.013158957016768577	-0.029706974102087128	5.9999	0.5800920442302895
135	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	4	1	0	0	0.600263581832106	-2.3659979166275256	4.4564586569086115	0.045547101571970894	-0.0020805513502597994	5.2065	0.19919173201581936
136	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_235.fits	1	2.3	4	1	0	0	0.5925883868092646	-2.419061080238413	4.529381884584858	0.02772218301828263	0.0002909971813607248	5.5334	0.14162707877852584
137	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_237.fits	1	2.32	4	1	0	0	0.5899609296859162	-2.454418010216368	4.571042075580218	0.028103602162905018	0.00020611190839764417	5.7611	0.19183824089287416
138	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	4	1	0	0	0.5905428365182472	-2.4913869896323115	4.575741659489914	0.0385999980750959	-0.0008739628349733668	6.2729	0.15879498852188978
139	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_242.fits	1	2.37	4	1	0	0	0.6117509391030493	-2.5384446771849	4.652161075692059	0.03311277408874483	-0.0052781497617865455	6.0406	0.17626058659463775
140	q0.333_fg0.3_allrx10_sunruns/hires_kin/broadband_245.fits	1	2.4	4	2	14.450251465901157	13.600660503742267	0.5956953798005207	-2.3840522472904744	4.566177001490673	0.011424425753376873	-0.005278270996798986	6.1485	0.28090739186725333
