Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
97	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_460.fits	1	4.49	4	1	0	0	0.5884444064548201	-2.070263096004911	3.220290253783567	-0.01360952386133761	-0.1513720488606368	2.0686	0.33914857704970397
98	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_480.fits	1	4.68	4	1	0	0	0.5857912303368334	-2.062402371594272	3.194491501534597	-0.03864558543161744	-0.1504109139209834	2.0472	0.3354871341627411
99	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_500.fits	1	4.88	4	1	0	0	0.5595336049655886	-2.017063713999184	3.2322387074146097	-0.05660539816952279	-0.15720981928202657	2.0633	0.1669393734626227
100	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	5	1	0	0	0.5106128263716152	-1.8812718069163101	2.983071392028271	-0.06883542172485962	-0.005449845582129818	1.3022	0.05785667591661682
101	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	5	1	0	0	0.5843269745982931	-1.5502467798298747	2.3465631904048063	0.0943417026725707	0.03200201982831691	0.7907	0.36509149404716223
102	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_090.fits	1	0.88	5	1	0	0	0.5452080650996737	-1.8302134946374662	2.6571556043982008	0.0275017209913115	0.015750302551436095	1.1123	0.2481523168500292
103	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	5	1	0	0	0.5039821742975399	-1.8427224769040191	2.9176290183754046	0.0452639810956012	0.00942134035762945	1.1472	0.11507870777385898
104	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_150.fits	1	1.47	5	1	0	0	0.48723612538270433	-1.8713904397322492	3.029428326664716	0.020839449528134806	0.0077930706811152805	1.2276	0.17637419172345198
105	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_180.fits	1	1.76	5	1	0	0	0.5117801003378101	-1.858260096999358	3.081033501941799	0.0023933845234553924	0.0007032305968059404	1.2641	0.10519532956184302
106	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_210.fits	1	2.05	5	1	0	0	0.5092211783988987	-1.8923565107799296	3.1358970705373457	-0.005218354293314238	0.00528098532631125	1.3201	0.13423313731670095
107	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_240.fits	1	2.35	5	1	0	0	0.4576911206976882	-1.8712095002814222	3.068066410087895	-0.023412498561553422	-0.007384849188766306	1.2251	0.07267005711875105
108	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_270.fits	1	2.64	5	2	10.485758525204043	4.808836374299148	0.49245319988352293	-1.408211425906639	2.9510163870679613	0.2237108674516363	0.009665417439679332	1.0092	0.5387133039680331
109	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_300.fits	1	2.93	5	1	0	0	0.5672990801624894	-1.780520488650829	3.2671073371400476	0.07266349310516128	0.008249556287994005	1.3477	0.1829560312539557
110	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_320.fits	1	3.13	5	2	5.833691097148063	6.894138437590799	0.5539260952732316	-0.8826013118573716	3.422293698234686	0.18635937012751252	0.023107170476269825	1.3001	0.4596726199279155
111	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_340.fits	1	3.32	5	2	3.456559110187798	9.947638625974344	0.568408356257658	-1.5538212969001914	3.2812496393434354	0.11535339367655874	0.01148759065514021	1.4758	0.23264662415199078
112	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_360.fits	1	3.52	5	1	0	0	0.5625251624519981	-1.8855513449435461	3.1349068546724146	0.012095075194692063	0.0018054604578221923	1.4569	0.33032837454509967
113	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_380.fits	1	3.72	5	1	0	0	0.5330425457604316	-1.90929190656959	3.479354099209057	-0.053921912626782253	-0.016802321117640844	1.5687	0.23577253511113305
114	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_400.fits	1	3.91	5	1	0	0	0.5532579816465687	-1.8932818789987889	3.2489463108844623	-0.031445494877536846	-0.006250416091463317	1.4682	0.11401081923665561
115	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_420.fits	1	4.11	5	1	0	0	0.5680036492987055	-1.9202363368142763	3.3041878824555533	-0.05683404466879154	-0.005113518634591592	1.4497	0.2525912960095825
116	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_440.fits	1	4.29	5	1	0	0	0.5613265884873719	-1.9387362226665856	3.1752601496867907	-0.03533725043527464	-0.006360557006295915	1.4985	0.06540171225835135
117	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_460.fits	1	4.49	5	1	0	0	0.5551945349226491	-1.9171302259886165	3.375028083412527	-0.022693008818624422	-0.003943788461314197	1.4664	0.18685742228441402
118	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin/broadband_480.fits	1	4.68	5	1	0	0	0.547412742349315	-1.906991702109898	3.2434704376310233	-0.03155530377607342	-0.001797483533378524	1.4729	0.08947204445377617
